TimeCreated,Id,LevelDisplayName,ProviderName,Message
"2026-06-02 11:19:04","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-02 11:19:04","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-02 11:04:33","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-02 11:04:33","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-02 10:45:22","1","信息","Microsoft-Windows-Kernel-General","系统时间已从 ‎2026‎-‎06‎-‎02T02:45:22.523624800Z.  时间增量更改为 ‎2026‎-‎06‎-‎02T02:45:22.524526100Z： 0 ms    更改原因： An application or system component changed the time.  进程： '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 69636).    RTC 时间： ‎2026‎-‎06‎-‎02T10:45:22.524526100Z  当前时区偏差 -480  RTC 时间以 UTC： false  系统时间基于 RTC 时间： false"
"2026-06-02 10:45:22","21","错误","Microsoft-Windows-HAL","未设置硬件实时时钟，因为评估 ACPI 时间和警报设备方法失败。 状态： 0xC00000BB."
"2026-06-02 10:45:22","20","错误","Microsoft-Windows-HAL","未查询硬件实时时钟，因为评估 ACPI 时间和警报设备方法失败。 状态： 0xC00000BB."
"2026-06-02 10:45:22","24","信息","Microsoft-Windows-Kernel-General","已刷新时区信息，退出原因为 0。当前时区偏差为 -480。"
"2026-06-02 10:45:22","35","信息","Microsoft-Windows-Time-Service","时间服务正在使用引用 ID 为 1213185300 的时间源 time.windows.com,0x9 (ntp.m 0x9 0.0.0.0:123->20.189.79.72:123) 同步系统时间。当前本地层次编号为 4。"
"2026-06-02 10:45:22","37","信息","Microsoft-Windows-Time-Service","时间提供程序 NtpClient 正在从 time.windows.com,0x9 (ntp.m 0x9 0.0.0.0:123->20.189.79.72:123) 接收有效的时间数据。"
"2026-06-02 10:29:27","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-02 10:29:27","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-02 09:48:13","20","错误","Microsoft-Windows-WindowsUpdateClient","安装失败: Windows 安装下列更新失败，错误为 0x80073D02: 9NBLGGH4LS1F-Microsoft.StorePurchaseApp。"
"2026-06-02 09:48:12","43","信息","Microsoft-Windows-WindowsUpdateClient","安装已启动: Windows 已开始安装以下更新: 9NBLGGH4LS1F-Microsoft.StorePurchaseApp"
"2026-06-02 09:48:12","16","信息","Microsoft-Windows-Kernel-General","已经清除配置单元 \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.StorePurchaseApp_22604.1401.2.0_x64__8wekyb3d8bbwe\ActivationStore.dat 中的访问历史记录，更新 0 个项并创建 0 个已修改的页面。"
"2026-06-02 09:48:08","16","信息","Microsoft-Windows-Kernel-General","已经清除配置单元 \??\C:\Users\葛容卓\AppData\Local\Packages\Microsoft.OfficePushNotificationUtility_8wekyb3d8bbwe\Settings\settings.dat 中的访问历史记录，更新 1 个项并创建 1 个已修改的页面。"
"2026-06-02 09:48:08","16","信息","Microsoft-Windows-Kernel-General","已经清除配置单元 \??\C:\Users\葛容卓\AppData\Local\Packages\aimgr_8wekyb3d8bbwe\Settings\settings.dat 中的访问历史记录，更新 1 个项并创建 1 个已修改的页面。"
"2026-06-02 09:48:07","16","信息","Microsoft-Windows-Kernel-General","已经清除配置单元 \??\C:\Users\葛容卓\AppData\Local\Packages\Microsoft.Office.ActionsServer_8wekyb3d8bbwe\Settings\settings.dat 中的访问历史记录，更新 1 个项并创建 1 个已修改的页面。"
"2026-06-02 09:48:05","16","信息","Microsoft-Windows-Kernel-General","已经清除配置单元 \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Office.ActionsServer_16.0.20026.20112_neutral__8wekyb3d8bbwe\ActivationStore.dat 中的访问历史记录，更新 0 个项并创建 0 个已修改的页面。"
"2026-06-02 09:48:04","16","信息","Microsoft-Windows-Kernel-General","已经清除配置单元 \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.OfficePushNotificationUtility_16.0.20026.20112_neutral__8wekyb3d8bbwe\ActivationStore.dat 中的访问历史记录，更新 0 个项并创建 0 个已修改的页面。"
"2026-06-02 09:48:04","98","信息","Microsoft-Windows-Ntfs","卷 Windows11 (\Device\HarddiskVolumeShadowCopy4) 运行状况良好。无需执行任何操作。"
"2026-06-02 09:41:17","10016","警告","Microsoft-Windows-DistributedCOM","应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 INSPIRON7610\葛容卓 SID (S-1-5-21-1774715358-1257858206-961493439-1001)授予针对 CLSID 为   {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  、APPID 为   {15C20B67-12E7-4BB6-92BB-7AFF07997402}   的 COM 服务器应用程序的 本地 激活 权限。此安全权限可以使用组件服务管理工具进行修改。"
"2026-06-02 09:38:07","10016","警告","Microsoft-Windows-DistributedCOM","应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 INSPIRON7610\葛容卓 SID (S-1-5-21-1774715358-1257858206-961493439-1001)授予针对 CLSID 为   {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  、APPID 为   {15C20B67-12E7-4BB6-92BB-7AFF07997402}   的 COM 服务器应用程序的 本地 激活 权限。此安全权限可以使用组件服务管理工具进行修改。"
"2026-06-02 09:34:36","10016","警告","Microsoft-Windows-DistributedCOM","应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 INSPIRON7610\葛容卓 SID (S-1-5-21-1774715358-1257858206-961493439-1001)授予针对 CLSID 为   {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  、APPID 为   {15C20B67-12E7-4BB6-92BB-7AFF07997402}   的 COM 服务器应用程序的 本地 激活 权限。此安全权限可以使用组件服务管理工具进行修改。"
"2026-06-02 09:32:34","10016","警告","Microsoft-Windows-DistributedCOM","应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 INSPIRON7610\葛容卓 SID (S-1-5-21-1774715358-1257858206-961493439-1001)授予针对 CLSID 为   {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  、APPID 为   {15C20B67-12E7-4BB6-92BB-7AFF07997402}   的 COM 服务器应用程序的 本地 激活 权限。此安全权限可以使用组件服务管理工具进行修改。"
"2026-06-02 09:32:21","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-02 09:32:21","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-02 09:29:27","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-02 09:29:27","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-02 09:27:25","19","信息","Microsoft-Windows-WindowsUpdateClient","安装成功: Windows 成功安装了下列更新: 9NKNC0LD5NN6-Microsoft.Xbox.TCUI"
"2026-06-02 09:25:12","44","信息","Microsoft-Windows-WindowsUpdateClient","Windows 更新已开始下载更新。"
"2026-06-02 09:25:10","19","信息","Microsoft-Windows-WindowsUpdateClient","安装成功: Windows 成功安装了下列更新: 9NBLGGH10PG8-MICROSOFT.PEOPLE"
"2026-06-02 09:25:10","19","信息","Microsoft-Windows-WindowsUpdateClient","安装成功: Windows 成功安装了下列更新: 9WZDNCRD1HKW-Microsoft.XboxIdentityProvider"
"2026-06-02 09:25:09","44","信息","Microsoft-Windows-WindowsUpdateClient","Windows 更新已开始下载更新。"
"2026-06-02 09:25:09","44","信息","Microsoft-Windows-WindowsUpdateClient","Windows 更新已开始下载更新。"
"2026-06-02 09:25:09","44","信息","Microsoft-Windows-WindowsUpdateClient","Windows 更新已开始下载更新。"
"2026-06-02 09:20:22","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-02 09:20:22","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-02 08:56:46","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-02 08:56:46","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
